title,team,location,city,state,posted_date,job_id,source,first_seen_date,last_seen_date,semantic_similarity,worker_type,schedule_type,company_name,education,country,experience_level,application_deadline,url,description_short,description,vacancies,requirements
Auxiliar de Farmacia- La Reina,Otra Área,"La Reina, Metropolitana de Santiago",La Reina,Metropolitana de Santiago,2026-07-17,6102831,ahumada,2026-07-17,2026-07-20,0.3702,Auxiliar,Jornada Completa,Farmacias Ahumada S.A.,Media,Chile,,2026-09-15,https://ahumada.trabajando.cl/trabajo-empleo/auxiliar-de-farmacia-la-reina/trabajo/6102831,En Farmacias Ahumada nos encontramos...,"En Farmacias Ahumada nos encontramos en busca de Auxiliares de Farmacia 💊 para nuestra sucursal en La Reina.
Si eres Auxiliar de Farmacia y te caracterizas por tu vocación de servicio y experiencia, ayúdanos a brindar a nuestros clientes la asesoría y el cuidado que necesitan, entregando un mayor acceso a la salud. ¡Te esperamos! 🌟
📌¿Qué tendrás que hacer?
-Realizar el proceso de atención y venta al cliente.
-Derivar todas las consultas farmacológicas al Químico Farmacéutico de turno, como también las solicitudes de devolución o cambios de productos.
-Revisar y reponer diariamente productos en las estanterías.
-Llevar el control diario de las fechas de vencimiento de los productos.
-Participar activamente de todos los inventarios.",3,"-Certificado o carnet de Auxiliar de Farmacia otorgado por la SEREMI o Título de Técnico en Farmacia
-Contar con enseñanza media completa
-Tener disponibilidad para trabajar 42 hrs semanales distribuidos de lunes a domingo 6 x1, con disponibilidad para hacer turnos rotativos mañana y tarde."
Auxiliar de Farmacia 30hrs - Melipilla,Otra Área,"Curicó, Maule",Curicó,Maule,2026-07-17,6102779,ahumada,2026-07-17,2026-07-20,0.2964,Auxiliar,Jornada Completa,Farmacias Ahumada S.A.,Media,Chile,,2026-09-15,https://ahumada.trabajando.cl/trabajo-empleo/auxiliar-de-farmacia-30hrs-melipilla/trabajo/6102779,Farmacias Ahumada enfocada en la salud...,"Farmacias Ahumada enfocada en la salud y bienestar se encuentra en búsqueda de Auxiliares de Farmacia en Curicó jornada part time 30hrs semanales, distribuidos de Lunes a domingo turnos rotativos.
Si eres Auxiliar de Farmacia y te caracterizas por tu vocación de servicio y experiencia, ayúdanos a brindar a nuestros pacientes la asesoría y el cuidado que necesitan, entregando un mayor acceso a la salud. ¡Te esperamos! - 🌿
📌¿Qué tendrás que hacer?
-Realizar el proceso de atención y venta al cliente.
-Derivar todas las consultas farmacológicas al Químico Farmacéutico de turno, como también las solicitudes de devolución o cambios de productos.
-Revisar y reponer diariamente productos en las estanterías.
-Llevar el control diario de las fechas de vencimiento de los productos.
-Participar activamente de todos los inventarios.",1,"📌 Requisitos:
-Certificado o carnet de Auxiliar de Farmacia otorgado por la SEREMI
-Título de Técnico en Farmacia
-Contar con enseñanza media completa
-Tener disponibilidad para trabajar en jornada part time 30hrs semanales, Lunes a domingos rotativos.
Acompañamos a las personas con dedicación y corazón, a mejorar su salud cada día.
¡¡Únete a nuestro equipo!! 🌟"
Auxiliar de Farmacia 20hrs - Curicó,Otra Área,"Curicó, Maule",Curicó,Maule,2026-07-17,6102772,ahumada,2026-07-17,2026-07-20,0.3132,Auxiliar,Part Time,Farmacias Ahumada S.A.,Media,Chile,,2026-09-15,https://ahumada.trabajando.cl/trabajo-empleo/auxiliar-de-farmacia-20hrs-curico/trabajo/6102772,Farmacias Ahumada enfocada en la salud...,"Farmacias Ahumada enfocada en la salud y bienestar se encuentra en búsqueda de Auxiliares de Farmacia en Curicó part time 20hrs semanales, distribuidos entre fin de semana y festivos.
Si eres Auxiliar de Farmacia y te caracterizas por tu vocación de servicio y experiencia, ayúdanos a brindar a nuestros pacientes la asesoría y el cuidado que necesitan, entregando un mayor acceso a la salud. ¡Te esperamos! - 🌿
📌¿Qué tendrás que hacer?
-Realizar el proceso de atención y venta al cliente.
-Derivar todas las consultas farmacológicas al Químico Farmacéutico de turno, como también las solicitudes de devolución o cambios de productos.
-Revisar y reponer diariamente productos en las estanterías.
-Llevar el control diario de las fechas de vencimiento de los productos.
-Participar activamente de todos los inventarios.",1,"📌 Requisitos:
-Certificado o carnet de Auxiliar de Farmacia otorgado por la SEREMI
-Título de Técnico en Farmacia
-Contar con enseñanza media completa
-Tener disponibilidad para trabajar en jornada part time 20hrs semanales, sábados, domingos y festivos.
Acompañamos a las personas con dedicación y corazón, a mejorar su salud cada día.
¡¡Únete a nuestro equipo!! 🌟"
Auxiliar de Farmacia 30hrs - Antofagasta,Otra Área,"Antofagasta, Antofagasta",Antofagasta,Antofagasta,2026-07-17,6086834,ahumada,2026-07-17,2026-07-20,0.2848,Auxiliar,Jornada Completa,Farmacias Ahumada S.A.,Media,Chile,,2026-08-23,https://ahumada.trabajando.cl/trabajo-empleo/auxiliar-de-farmacia-30hrs-antofagasta/trabajo/6086834,Farmacias Ahumada enfocada en la salud...,"Farmacias Ahumada enfocada en la salud y bienestar se encuentra en búsqueda de Auxiliares de Farmacia en Antofagasta jornada part time 30hrs semanales, distribuidos de Lunes a domingo turnos rotativos.
Si eres Auxiliar de Farmacia y te caracterizas por tu vocación de servicio y experiencia, ayúdanos a brindar a nuestros pacientes la asesoría y el cuidado que necesitan, entregando un mayor acceso a la salud. ¡Te esperamos! - 🌿
📌¿Qué tendrás que hacer?
-Realizar el proceso de atención y venta al cliente.
-Derivar todas las consultas farmacológicas al Químico Farmacéutico de turno, como también las solicitudes de devolución o cambios de productos.
-Revisar y reponer diariamente productos en las estanterías.
-Llevar el control diario de las fechas de vencimiento de los productos.
-Participar activamente de todos los inventarios.",1,"📌 Requisitos:
-Certificado o carnet de Auxiliar de Farmacia otorgado por la SEREMI
-Título de Técnico en Farmacia
-Contar con enseñanza media completa
-Tener disponibilidad para trabajar en jornada part time 30hrs semanales, Lunes a domingos rotativos.
Acompañamos a las personas con dedicación y corazón, a mejorar su salud cada día.
¡¡Únete a nuestro equipo!! 🌟"
Auxiliar de Farmacia- La Reina,Otra Área,"La Reina, Metropolitana de Santiago",La Reina,Metropolitana de Santiago,2026-07-17,6084394,ahumada,2026-07-17,2026-07-19,0.3403,Auxiliar,Jornada Completa,Farmacias Ahumada S.A.,Media,Chile,,2026-07-18,https://ahumada.trabajando.cl/trabajo-empleo/auxiliar-de-farmacia-la-reina/trabajo/6084394,En Farmacias Ahumada nos encontramos...,"En Farmacias Ahumada nos encontramos en busca de Auxiliares de Farmacia 💊 para nuestra sucursal en La Reina.
Si eres Auxiliar de Farmacia y te caracterizas por tu vocación de servicio y experiencia, ayúdanos a brindar a nuestros clientes la asesoría y el cuidado que necesitan, entregando un mayor acceso a la salud. ¡Te esperamos! 🌟
📌¿Qué tendrás que hacer?
-Realizar el proceso de atención y venta al cliente.
-Derivar todas las consultas farmacológicas al Químico Farmacéutico de turno, como también las solicitudes de devolución o cambios de productos.
-Revisar y reponer diariamente productos en las estanterías.
-Llevar el control diario de las fechas de vencimiento de los productos.
-Participar activamente de todos los inventarios.",3,"-Certificado o carnet de Auxiliar de Farmacia otorgado por la SEREMI o Título de Técnico en Farmacia
-Contar con enseñanza media completa
-Tener disponibilidad para trabajar 42 hrs semanales distribuidos de lunes a domingo 6 x1, con disponibilidad para hacer turnos rotativos mañana y tarde."
Auxiliar de Farmacia 20hrs - Calama,Otra Área,"Calama, Antofagasta",Calama,Antofagasta,2026-07-15,6084363,ahumada,2026-07-17,2026-07-20,0.3102,Auxiliar,Part Time,Farmacias Ahumada S.A.,Media,Chile,,2026-08-17,https://ahumada.trabajando.cl/trabajo-empleo/auxiliar-de-farmacia-20hrs-calama/trabajo/6084363,Farmacias Ahumada enfocada en la salud...,"Farmacias Ahumada enfocada en la salud y bienestar se encuentra en búsqueda de Auxiliares de Farmacia en Calama part time 20 hrs semanales, distribuidos entre fin de semana y festivos.
Si eres Auxiliar de Farmacia y te caracterizas por tu vocación de servicio y experiencia, ayúdanos a brindar a nuestros pacientes la asesoría y el cuidado que necesitan, entregando un mayor acceso a la salud. ¡Te esperamos! - 🌿
📌¿Qué tendrás que hacer?
-Realizar el proceso de atención y venta al cliente.
-Derivar todas las consultas farmacológicas al Químico Farmacéutico de turno, como también las solicitudes de devolución o cambios de productos.
-Revisar y reponer diariamente productos en las estanterías.
-Llevar el control diario de las fechas de vencimiento de los productos.
-Participar activamente de todos los inventarios.",1,"📌 Requisitos:
-Certificado o carnet de Auxiliar de Farmacia otorgado por la SEREMI
-Título de Técnico en Farmacia
-Contar con enseñanza media completa
-Tener disponibilidad para trabajar en jornada part time 20 hrs semanales, sábados, domingos y festivos.
Acompañamos a las personas con dedicación y corazón, a mejorar su salud cada día.
¡¡Únete a nuestro equipo!! 🌟"
Auxiliar de Farmacia 20hrs - Pucón,Otra Área,"Pucón, La Araucanía",Pucón,La Araucanía,2026-07-14,6101994,ahumada,2026-07-17,2026-07-20,0.3005,Auxiliar,Jornada Completa,Farmacias Ahumada S.A.,Media,Chile,,2026-12-09,https://ahumada.trabajando.cl/trabajo-empleo/auxiliar-de-farmacia-20hrs-pucon/trabajo/6101994,Farmacias Ahumada enfocada en la salud...,"Farmacias Ahumada enfocada en la salud y bienestar se encuentra en búsqueda de Auxiliares de Farmacia en PUCÓN jornada part time 20hrs semanales, distribuidos de Sábado, Domingo y Festivos
Si eres Auxiliar de Farmacia y te caracterizas por tu vocación de servicio y experiencia, ayúdanos a brindar a nuestros pacientes la asesoría y el cuidado que necesitan, entregando un mayor acceso a la salud. ¡Te esperamos! - 🌿
📌¿Qué tendrás que hacer?
-Realizar el proceso de atención y venta al cliente.
-Derivar todas las consultas farmacológicas al Químico Farmacéutico de turno, como también las solicitudes de devolución o cambios de productos.
-Revisar y reponer diariamente productos en las estanterías.
-Llevar el control diario de las fechas de vencimiento de los productos.
-Participar activamente de todos los inventarios.",1,"📌 Requisitos:
-Certificado o carnet de Auxiliar de Farmacia otorgado por la SEREMI
-Título de Técnico en Farmacia
-Contar con enseñanza media completa
-Tener disponibilidad para trabajar en jornada Part time 20hrs semanales, Sábado Domingo y Festivos
Acompañamos a las personas con dedicación y corazón, a mejorar su salud cada día.
¡¡Únete a nuestro equipo!! 🌟"
Auxiliar de Farmacia 20hrs - Melipilla,Otra Área,"Melipilla, Metropolitana de Santiago",Melipilla,Metropolitana de Santiago,2026-07-14,6101991,ahumada,2026-07-17,2026-07-20,0.2902,Auxiliar,Jornada Completa,Farmacias Ahumada S.A.,Media,Chile,,2026-12-09,https://ahumada.trabajando.cl/trabajo-empleo/auxiliar-de-farmacia-20hrs-melipilla/trabajo/6101991,Farmacias Ahumada enfocada en la salud...,"Farmacias Ahumada enfocada en la salud y bienestar se encuentra en búsqueda de Auxiliares de Farmacia en Melipilla jornada part time 20hrs semanales, distribuidos de Sábado, Domingo y Festivos
Si eres Auxiliar de Farmacia y te caracterizas por tu vocación de servicio y experiencia, ayúdanos a brindar a nuestros pacientes la asesoría y el cuidado que necesitan, entregando un mayor acceso a la salud. ¡Te esperamos! - 🌿
📌¿Qué tendrás que hacer?
-Realizar el proceso de atención y venta al cliente.
-Derivar todas las consultas farmacológicas al Químico Farmacéutico de turno, como también las solicitudes de devolución o cambios de productos.
-Revisar y reponer diariamente productos en las estanterías.
-Llevar el control diario de las fechas de vencimiento de los productos.
-Participar activamente de todos los inventarios.",1,"📌 Requisitos:
-Certificado o carnet de Auxiliar de Farmacia otorgado por la SEREMI
-Título de Técnico en Farmacia
-Contar con enseñanza media completa
-Tener disponibilidad para trabajar en jornada Part time 20hrs semanales, Sábado Domingo y Festivos
Acompañamos a las personas con dedicación y corazón, a mejorar su salud cada día.
¡¡Únete a nuestro equipo!! 🌟"
Category Planner,Otra Área,"Huechuraba, Metropolitana de Santiago",Huechuraba,Metropolitana de Santiago,2026-07-13,6101644,ahumada,2026-07-17,2026-07-20,0.4804,Otro Profesional,Jornada Completa,Farmacias Ahumada S.A.,Universitaria,Chile,2 años,2026-12-08,https://ahumada.trabajando.cl/trabajo-empleo/category-planner/trabajo/6101644,¡Te invitamos a protagonizar la evolución...,"¡Te invitamos a protagonizar la evolución del cuidado de la salud en Chile!
En Farmacias Ahumada buscamos incorporar a un(a) Category Planner para formar parte de nuestra Gerencia Comercial, desempeñando un rol clave en la optimización de espacios, la estrategia de surtido y la experiencia de compra de nuestros clientes.
Si te apasiona el análisis de datos, la planificación comercial y la gestión de categorías, esta es una excelente oportunidad para desarrollar tu carrera en una compañía con más de 55 años de trayectoria e innovación en el mercado.
Misión del cargo
Optimizar la planificación y administración de los espacios destinados a la exhibición de los productos, asegurando una correcta ejecución de planogramas y contribuyendo, en conjunto con las áreas Comercial y Category Management, a la definición del surtido y segmentación de categorías que maximicen las ventas y la experiencia de nuestros clientes.
¿Cuáles serán tus principales desafíos?
Planificar y ejecutar la actualización de las categorías asignadas de acuerdo con el calendario comercial.
Diseñar, revisar e implementar planogramas en salas de venta, asegurando su correcta ejecución.
Elaborar reportes y análisis de indicadores relacionados con planogramación, comportamiento de categorías y tendencias de mercado.
Desarrollar planogramas para campañas comerciales y realizar seguimiento a su implementación en los puntos de venta.
Gestionar la carga de coberturas de planogramas en SAP y monitorear la disponibilidad de stock asociada a las exhibiciones.
¿Qué buscamos?
Personas con orientación analítica y atención al detalle.
Capacidad para interpretar información y transformarla en decisiones comerciales.
Habilidades de planificación, organización y coordinación transversal.
Interés por el retail, la gestión de categorías y la optimización de espacios comerciales.",1,"Formación universitaria Ingeniería Comercial, Ingeniería Industrial, Ingeniería en Control de Gestión, Ingeniería en Ejecución, Ingeniería en Administración de Empresas.
Al menos 2 años de experiencia en planogramación (EXCLUYENTE)
Conocimiento Excel avanzado
Perfil proactivo, ordenado y con alto nivel de responsabilidad."
Auxiliar de Farmacia- Melipilla 30hrs semanales,Otra Área,"Melipilla, Metropolitana de Santiago",Melipilla,Metropolitana de Santiago,2026-07-09,6100034,ahumada,2026-07-17,2026-07-20,0.2883,Auxiliar,Part Time,Farmacias Ahumada S.A.,Media,Chile,,2026-08-08,https://ahumada.trabajando.cl/trabajo-empleo/auxiliar-de-farmacia-melipilla-30hrs-semanales/trabajo/6100034,💊 Farmacias Ahumada enfocada en la...,"💊 Farmacias Ahumada enfocada en la salud y bienestar se encuentra en búsqueda de Auxiliares de Farmacia modalidad jornada part time 30 hrs semanales, de lunes a domingo,
Si eres Auxiliar de Farmacia y te caracterizas por tu vocación de servicio y experiencia, ayúdanos a brindar a nuestros pacientes la asesoría y el cuidado que necesitan, entregando un mayor acceso a la salud. ¡Te esperamos! 🌿
¿Qué tendrás que hacer? 📌
-Realizar el proceso de atención y venta al cliente.
-Derivar todas las consultas farmacológicas al Químico Farmacéutico de turno, como también las solicitudes de devolución o cambios de productos.
-Revisar y reponer diariamente productos en las estanterías.
-Llevar el control diario de las fechas de vencimiento de los productos.
-Participar activamente de todos los inventarios.
Acompañamos a las personas con dedicación y corazón, a mejorar su salud cada día.
Únete a nuestro equipo!! 🌟",1,"-Certificado o carnet de Auxiliar de Farmacia otorgado por la SEREMI o Título de Técnico en Farmacia
-Contar con enseñanza media completa
🕒 Jornada: Tener disponibilidad para trabajar en jornada part time 20 hrs semanales, de lunes a domingo."
Auxiliar de Farmacia- Melipilla 20hrs semanales,Otra Área,"Melipilla, Metropolitana de Santiago",Melipilla,Metropolitana de Santiago,2026-07-09,6100021,ahumada,2026-07-19,2026-07-20,0.3022,Auxiliar,Part Time,Farmacias Ahumada S.A.,Media,Chile,,2026-08-08,https://ahumada.trabajando.cl/trabajo-empleo/auxiliar-de-farmacia-melipilla-20hrs-semanales/trabajo/6100021,💊 Farmacias Ahumada enfocada en la...,"💊 Farmacias Ahumada enfocada en la salud y bienestar se encuentra en búsqueda de Auxiliares de Farmacia modalidad jornada part time 20 hrs semanales, distribuidas entre sábado, domingo y festivos,
Si eres Auxiliar de Farmacia y te caracterizas por tu vocación de servicio y experiencia, ayúdanos a brindar a nuestros pacientes la asesoría y el cuidado que necesitan, entregando un mayor acceso a la salud. ¡Te esperamos! 🌿
¿Qué tendrás que hacer? 📌
-Realizar el proceso de atención y venta al cliente.
-Derivar todas las consultas farmacológicas al Químico Farmacéutico de turno, como también las solicitudes de devolución o cambios de productos.
-Revisar y reponer diariamente productos en las estanterías.
-Llevar el control diario de las fechas de vencimiento de los productos.
-Participar activamente de todos los inventarios.
Acompañamos a las personas con dedicación y corazón, a mejorar su salud cada día.
Únete a nuestro equipo!! 🌟",1,"-Certificado o carnet de Auxiliar de Farmacia otorgado por la SEREMI o Título de Técnico en Farmacia
-Contar con enseñanza media completa
🕒 Jornada: Tener disponibilidad para trabajar en jornada part time 20 hrs semanales, distribuidas entre sábados, domingos y festivos."
Auxiliar de Farmacia- La Reina 30hrs semanales,Otra Área,"La Reina, Metropolitana de Santiago",La Reina,Metropolitana de Santiago,2026-07-09,6100202,ahumada,2026-07-17,2026-07-20,0.3466,Auxiliar,Part Time,Farmacias Ahumada S.A.,Media,Chile,,2026-08-08,https://ahumada.trabajando.cl/trabajo-empleo/auxiliar-de-farmacia-la-reina-30hrs-semanales/trabajo/6100202,En Farmacias Ahumada nos encontramos...,"En Farmacias Ahumada nos encontramos en busca de 4 Auxiliares de Farmacia 💊 para nuestra sucursal en La Reina.
Si eres Auxiliar de Farmacia y te caracterizas por tu vocación de servicio y experiencia, ayúdanos a brindar a nuestros clientes la asesoría y el cuidado que necesitan, entregando un mayor acceso a la salud. ¡Te esperamos! 🌟
Buscamos personas para cubrir jornada semanal de 30 horas, distribuidas de lunes a domingo.
📌¿Qué tendrás que hacer?
-Realizar el proceso de atención y venta al cliente.
-Derivar todas las consultas farmacológicas al Químico Farmacéutico de turno, como también las solicitudes de devolución o cambios de productos.
-Revisar y reponer diariamente productos en las estanterías.
-Llevar el control diario de las fechas de vencimiento de los productos.
-Participar activamente de todos los inventarios.",4,"-Contar con Certificado o carnet de Auxiliar de Farmacia otorgado por la SEREMI o Título de Técnico en Farmacia
-Tener enseñanza media completa
-Disponibilidad para trabajar 30hrs semanales, distribuidos de lunes a domingo."
Químico Farmacéutico Melipilla - Part Time 20H,Otra Área,"Melipilla, Metropolitana de Santiago",Melipilla,Metropolitana de Santiago,2026-07-07,6098757,ahumada,2026-07-17,2026-07-20,0.3771,Subgerente/Subdirector General,Jornada Completa,Farmacias Ahumada S.A.,Universitaria,Chile,,2026-06-08,https://ahumada.trabajando.cl/trabajo-empleo/quimico-farmaceutico-melipilla-part-time-20h/trabajo/6098757,Farmacias Ahumada se encuentra en búsqueda...,"Farmacias Ahumada se encuentra en búsqueda de Químicos Farmacéuticos para ejercer en el cargo de subgerente en farmacia que se ubica en Melipilla, Región Metropolitana.
📌 Principales funciones:
1. Realizar apertura o cierre de la Farmacia, inspeccionando todas las dependencias, con el propósito de comenzar a operar en hora establecida y en forma normal.
2. Supervisar y controlar la atención de público con el objetivo de entregar un servicio de calidad.
3. Programar los horarios de colaboradores, mediante el sistema interno, con el propósito de cumplir con las restricciones legales vigentes.
4. Coordinar periódicamente las exhibiciones vigentes de acuerdo con los criterios definidos por la Compañía.
5. Atender las solicitudes de pedido de recetas magistrales, consultar el valor de éstas y enviarlas a Recetario Magistral, posteriormente recibir los productos preparados, verificar su formulación en relación con lo prescrito, contactar al cliente y solicitar su retiro o despacho.
6. Revisar continuamente las solicitudes de insumos y materiales que requiere la farmacia para operar en total normalidad, mediante el sistema, con el objetivo de controlar el uso apropiado y no afectar la gestión de la farmacia.
7. Solicitar pedidos, mediante el sistema, con el propósito de mantener un stock de productos, pudiendo comercializarlos y evitando los quiebres.
8. Representar a la Compañía ante entidades laborales reguladoras y Servicio de Salud, con el propósito de cumplir con la normativa legal vigente.
📍 Ubicación: Melipilla
🕒 Horario: Part Time 20 Horas.",1,"🎯Perfil requerido:
-Título de químico farmacéutico o revalidación de título en el caso de postulantes extranjeros.
-Disponibilidad para trabajar 20 Horas en la ciudad de Melipilla.
🌟Beneficios:
-Contrato indefinido.
-Bono de incorporación.
-Renta acorde al mercado.
Acompañamos a las personas con dedicación y corazón, a mejorar su salud cada día.
¡Únete a nuestro equipo! 💊"
Auxiliar de Farmacia 42hrs - Rancagua,Otra Área,"Rancagua, Lib. Gral. Bdo. O'Higgins",Rancagua,Lib. Gral. Bdo. O'Higgins,2026-07-02,6097236,ahumada,2026-07-17,2026-07-20,0.3175,Auxiliar,Jornada Completa,Farmacias Ahumada S.A.,Media,Chile,,2026-01-08,https://ahumada.trabajando.cl/trabajo-empleo/auxiliar-de-farmacia-42hrs-rancagua/trabajo/6097236,Farmacias Ahumada enfocada en la salud...,"Farmacias Ahumada enfocada en la salud y bienestar se encuentra en búsqueda de Auxiliares de Farmacia en Rancagua jornada Full time 42hrs semanales, distribuidos de Lunes a domingo turnos rotativos.
Si eres Auxiliar de Farmacia y te caracterizas por tu vocación de servicio y experiencia, ayúdanos a brindar a nuestros pacientes la asesoría y el cuidado que necesitan, entregando un mayor acceso a la salud. ¡Te esperamos! - 🌿
📌¿Qué tendrás que hacer?
-Realizar el proceso de atención y venta al cliente.
-Derivar todas las consultas farmacológicas al Químico Farmacéutico de turno, como también las solicitudes de devolución o cambios de productos.
-Revisar y reponer diariamente productos en las estanterías.
-Llevar el control diario de las fechas de vencimiento de los productos.
-Participar activamente de todos los inventarios.",1,"📌 Requisitos:
-Certificado o carnet de Auxiliar de Farmacia otorgado por la SEREMI
-Título de Técnico en Farmacia
-Contar con enseñanza media completa
-Tener disponibilidad para trabajar en jornada full time 42hrs semanales, Lunes a domingos rotativos.
Acompañamos a las personas con dedicación y corazón, a mejorar su salud cada día.
¡¡Únete a nuestro equipo!! 🌟"
